dir,track,h,search,queue,algo,dom,cov
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,nomystery,6
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,tidybot,16
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,pegsol,20
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,visitall,4
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,transport,10
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,elevators,10
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,woodworking,1
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,parcprinter,10
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,parking,18
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,floortile,0
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,scanalyzer,20
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,sokoban,16
lazyrandom,ipc2011,cg1,lazy,RANDOM,h,openstacks,18
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,citycar,1
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,parking,7
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,childsnack,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,floortile,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,tetris,20
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,cavediving,7
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,transport,4
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,thoughtful,6
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,maintenance,1
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,openstacks,14
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,hiking,16
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,visitall,0
lazyrandom,ipc2014,cg1,lazy,RANDOM,h,ged,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,nomystery,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,tidybot,14
lazylifo,ipc2011,ff1,lazy,LIFO,h,pegsol,20
lazylifo,ipc2011,ff1,lazy,LIFO,h,visitall,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,elevators,8
lazylifo,ipc2011,ff1,lazy,LIFO,h,woodworking,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,barman,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,parcprinter,11
lazylifo,ipc2011,ff1,lazy,LIFO,h,parking,17
lazylifo,ipc2011,ff1,lazy,LIFO,h,floortile,4
lazylifo,ipc2011,ff1,lazy,LIFO,h,scanalyzer,16
lazylifo,ipc2011,ff1,lazy,LIFO,h,sokoban,19
lazylifo,ipc2011,ff1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2011,cg1,lazy,LIFO,h,nomystery,10
lazylifo,ipc2011,cg1,lazy,LIFO,h,tidybot,14
lazylifo,ipc2011,cg1,lazy,LIFO,h,pegsol,20
lazylifo,ipc2011,cg1,lazy,LIFO,h,visitall,3
lazylifo,ipc2011,cg1,lazy,LIFO,h,transport,12
lazylifo,ipc2011,cg1,lazy,LIFO,h,elevators,9
lazylifo,ipc2011,cg1,lazy,LIFO,h,woodworking,1
lazylifo,ipc2011,cg1,lazy,LIFO,h,barman,0
lazylifo,ipc2011,cg1,lazy,LIFO,h,parcprinter,11
lazylifo,ipc2011,cg1,lazy,LIFO,h,parking,4
lazylifo,ipc2011,cg1,lazy,LIFO,h,floortile,0
lazylifo,ipc2011,cg1,lazy,LIFO,h,scanalyzer,20
lazylifo,ipc2011,cg1,lazy,LIFO,h,sokoban,17
lazylifo,ipc2011,cg1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,nomystery,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,tidybot,14
lazylifo,ipc2011,ff1,lazy,LIFO,h,pegsol,20
lazylifo,ipc2011,ff1,lazy,LIFO,h,visitall,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,elevators,8
lazylifo,ipc2011,ff1,lazy,LIFO,h,woodworking,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,barman,2
lazylifo,ipc2011,ff1,lazy,LIFO,h,parcprinter,11
lazylifo,ipc2011,ff1,lazy,LIFO,h,parking,17
lazylifo,ipc2011,ff1,lazy,LIFO,h,floortile,4
lazylifo,ipc2011,ff1,lazy,LIFO,h,scanalyzer,16
lazylifo,ipc2011,ff1,lazy,LIFO,h,sokoban,19
lazylifo,ipc2011,ff1,lazy,LIFO,h,openstacks,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,nomystery,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,tidybot,14
lazylifo,ipc2011,ff1,lazy,LIFO,h,pegsol,20
lazylifo,ipc2011,ff1,lazy,LIFO,h,visitall,5
lazylifo,ipc2011,ff1,lazy,LIFO,h,transport,0
lazylifo,ipc2011,ff1,lazy,LIFO,h,elevators,8
