track,h,search,queue,algo,domain,cov
ipc2014,ff1,lazy,LIFO,h,citycar,0
ipc2014,ff1,lazy,LIFO,h,parking,8
ipc2014,ff1,lazy,LIFO,h,childsnack,0
ipc2014,ff1,lazy,LIFO,h,floortile,2
ipc2014,ff1,lazy,LIFO,h,tetris,3
ipc2014,ff1,lazy,LIFO,h,cavediving,7
ipc2014,ff1,lazy,LIFO,h,transport,0
ipc2014,ff1,lazy,LIFO,h,thoughtful,7
ipc2014,ff1,lazy,LIFO,h,maintenance,4
ipc2014,ff1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,hiking,13
ipc2014,ff1,lazy,LIFO,h,visitall,0
ipc2014,ff1,lazy,LIFO,h,ged,20
ipc2014,ff1,lazy,LIFO,h,barman,0
ipc2014,ff1,lazy,LIFO,h,citycar,0
ipc2014,ff1,lazy,LIFO,h,parking,8
ipc2014,ff1,lazy,LIFO,h,childsnack,0
ipc2014,ff1,lazy,LIFO,h,floortile,2
ipc2014,ff1,lazy,LIFO,h,tetris,3
ipc2014,ff1,lazy,LIFO,h,cavediving,7
ipc2014,ff1,lazy,LIFO,h,transport,0
ipc2014,ff1,lazy,LIFO,h,thoughtful,7
ipc2014,ff1,lazy,LIFO,h,maintenance,4
ipc2014,ff1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,hiking,13
ipc2014,ff1,lazy,LIFO,h,visitall,0
ipc2014,ff1,lazy,LIFO,h,ged,20
ipc2014,cg1,lazy,LIFO,h,barman,0
ipc2014,cg1,lazy,LIFO,h,citycar,0
ipc2014,cg1,lazy,LIFO,h,parking,0
ipc2014,cg1,lazy,LIFO,h,childsnack,1
ipc2014,cg1,lazy,LIFO,h,floortile,0
ipc2014,cg1,lazy,LIFO,h,tetris,9
ipc2014,cg1,lazy,LIFO,h,cavediving,7
ipc2014,cg1,lazy,LIFO,h,transport,4
ipc2014,cg1,lazy,LIFO,h,thoughtful,6
ipc2014,cg1,lazy,LIFO,h,maintenance,0
ipc2014,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,hiking,17
ipc2014,cg1,lazy,LIFO,h,visitall,0
ipc2014,cg1,lazy,LIFO,h,ged,0
ipc2011,cg1,lazy,LIFO,h,nomystery,10
ipc2011,cg1,lazy,LIFO,h,tidybot,14
ipc2011,cg1,lazy,LIFO,h,pegsol,20
ipc2011,cg1,lazy,LIFO,h,visitall,4
ipc2011,cg1,lazy,LIFO,h,transport,12
ipc2011,cg1,lazy,LIFO,h,elevators,9
ipc2011,cg1,lazy,LIFO,h,woodworking,1
ipc2011,cg1,lazy,LIFO,h,barman,0
ipc2011,cg1,lazy,LIFO,h,parcprinter,11
